Company,Role,URL,Platform,Location
IMC Trading,Quantitative Researcher – Futures,https://job-boards.eu.greenhouse.io/imc/jobs/4740859101,Greenhouse,"Chicago, United States; New York, United States"
IMC Trading,Quantitative Researcher - HFT,https://job-boards.eu.greenhouse.io/imc/jobs/4785803101,Greenhouse,"Hong Kong, Hong Kong; Sydney,  Australia"
IMC Trading,Quantitative Researcher - HFT Commodity Futures,https://job-boards.eu.greenhouse.io/imc/jobs/4785808101,Greenhouse,"Hong Kong, Hong Kong; Sydney,  Australia"
IMC Trading,Quantitative Researcher - Modeller,https://job-boards.eu.greenhouse.io/imc/jobs/4785804101,Greenhouse,"Hong Kong, Hong Kong; Sydney,  Australia"
IMC Trading,Quantitative Researcher - Options,https://job-boards.eu.greenhouse.io/imc/jobs/4286816101,Greenhouse,"Chicago, United States"
IMC Trading,Quantitative Trader – Equities (Strategy Monetization),https://job-boards.eu.greenhouse.io/imc/jobs/4787639101,Greenhouse,"Hong Kong, Hong Kong; Sydney,  Australia"
IMC Trading,Quantitative Trading Strategist - Equity Options,https://job-boards.eu.greenhouse.io/imc/jobs/4792587101,Greenhouse,"Chicago, United States"
IMC Trading,Senior Equity Options Volatility Trader,https://job-boards.eu.greenhouse.io/imc/jobs/4300493101,Greenhouse,"Chicago, United States"
IMC Trading,Systematic Index Options Trader ,https://job-boards.eu.greenhouse.io/imc/jobs/4861099101,Greenhouse,"Chicago, United States"
Akuna Capital,Broker Trader,https://www.akunacapital.com/careers/job/7496423/?gh_jid=7496423,Greenhouse,"Chicago, IL"
Akuna Capital,Broker Trader - Equities/Index,https://www.akunacapital.com/careers/job/7839026/?gh_jid=7839026,Greenhouse,"Chicago, IL"
Akuna Capital,Experienced Options Trader,https://www.akunacapital.com/careers/job/7496425/?gh_jid=7496425,Greenhouse,"Chicago, IL"
Akuna Capital,Experienced Options Trader - SOFR,https://www.akunacapital.com/careers/job/7901833/?gh_jid=7901833,Greenhouse,"Chicago, IL"
Akuna Capital,Floor Trader- SPX,https://www.akunacapital.com/careers/job/7496427/?gh_jid=7496427,Greenhouse,"Chicago, IL"
Akuna Capital,Junior Quantitative Researcher - Prediction Markets,https://www.akunacapital.com/careers/job/7863348/?gh_jid=7863348,Greenhouse,"Chicago, IL"
Akuna Capital,Quantitative Researcher,https://www.akunacapital.com/careers/job/7496416/?gh_jid=7496416,Greenhouse,"Chicago, IL"
Akuna Capital,Quantitative Researcher - Prediction Markets,https://www.akunacapital.com/careers/job/7846695/?gh_jid=7846695,Greenhouse,"Chicago, IL"
Akuna Capital,Quant Strategist,https://www.akunacapital.com/careers/job/6812905/?gh_jid=6812905,Greenhouse,"Chicago, IL"
Chicago Trading Company,Systematic Quantitative Researcher - PhD,https://job-boards.greenhouse.io/chicagotradingcampus/jobs/4645631005,Greenhouse,"Chicago, Illinois, United States, New York, New York, United States"
Chicago Trading Company,C++ Senior Engineer - Options Market Making Execution ,https://job-boards.greenhouse.io/chicagotrading/jobs/4673730005,Greenhouse,"Chicago, Illinois, United States"
Chicago Trading Company,Options Trader - Asia Hours,https://job-boards.greenhouse.io/chicagotrading/jobs/4662226005,Greenhouse,"Chicago, Illinois, United States"
Chicago Trading Company,Principal Quantitative Researcher - Systematic ,https://job-boards.greenhouse.io/chicagotrading/jobs/4575948005,Greenhouse,"Chicago, Illinois, United States; New York, New York, United States"
Chicago Trading Company,Quantitative Researcher - Systematic ,https://job-boards.greenhouse.io/chicagotrading/jobs/4564801005,Greenhouse,"Chicago, Illinois, United States; New York, New York, United States"
Chicago Trading Company,Senior Quantitative Researcher - Delta One,https://job-boards.greenhouse.io/chicagotrading/jobs/4663497005,Greenhouse,"Chicago, Illinois, United States"
Chicago Trading Company,Senior Quantitative Trader - Delta One,https://job-boards.greenhouse.io/chicagotrading/jobs/4672711005,Greenhouse,"Chicago, Illinois, United States"
Hudson River Trading,AI Researcher,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7024891,Greenhouse,"London, United Kingdom; New York, NY, United States"
Hudson River Trading,"AI Researcher, LLMs",https://www.hudsonrivertrading.com/careers/job/?gh_jid=7925882,Greenhouse,"London, United Kingdom; New York, NY, United States"
Hudson River Trading,Algorithm Developer (Quant Researcher) – 2026 PhDs,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7133986,Greenhouse,"London, United Kingdom; New York, NY, United States; Singapore"
